Seq,station,lat,lon,country,distance(km)
7,迪拜,25°16′N,055°18′E,阿拉伯联合酋长国,0
12,苏伊士港,29°56′.5N,032°33′.9E,埃及,0
15,奥尔巴尼港,35°02′S,117°53′E,澳大利亚,0
21,布里奇敦港,13°06′N,059°38′W,巴巴多斯,0
32,南浦港,38°43′N,125°24′E,朝鲜,0
45,马尼拉港,14°35′N,120°58′E,菲律宾,0
55,仁川港,37°28′N,126°37′E,韩国,0
65,蒙巴萨港,04°04′S,039°40′E,肯尼亚,0
74,槟城港,05°25′N,100°21′E,马来西亚,0
109,柏培拉港,10°26′N,045°01′E,索马里,0
113,曼谷,13°44′N,100°30′E,泰国,0
136,乌姆盖斯尔港,30°01′.4N,047°57′.1E,伊拉克,0
148,金奈港,13°06′N,080°18′E,印度,0
113,曼谷,13°44′N,100°30′E,泰国,0
136,乌姆盖斯尔港,30°01′.4N,047°57′.1E,伊拉克,0
7,迪拜,25°16′N,055°18′E,阿拉伯联合酋长国,0
32,南浦港,38°43′N,125°24′E,朝鲜,0
109,柏培拉港,10°26′N,045°01′E,索马里,0
144,奇维塔韦基亚港,42°05′N,011°47′E,意大利,0.336265562
38,阿萨布港,13°00′.2N,042°45′.0E,厄立特里亚,0.46660288
38,阿萨布港,13°00′.2N,042°45′.0E,厄立特里亚,0.46660288
18,凯恩斯港,16°55′S,145°47′E,澳大利亚,0.50306909
163,胡志明市港,10°46′.0N,106°43′.0E,越南,0.544728929
163,胡志明市港,10°46′.0N,106°43′.0E,越南,0.544728929
53,利蒙港,10°00′N,083°01′W,哥斯达黎加,0.645930166
81,卡亚俄港,12°03′S,077°10′W,秘鲁,0.713327064
49,苏瓦港,18°08′.1S,178°25′.5E,斐济,0.88187235
20,悉尼港,33°51′S,151°13′E,澳大利亚,0.896510806
30,里约热内卢港,22°54′S,043°12′W,巴西,0.90689042
25,卡拉奇港,24°48′N,066°59′E,巴基斯坦,0.958219513
127,伊拉克利翁港,35°21′N,025°09′E,希腊,0.967369986
168,瓦尔帕莱索港,33°02′S,071°38′W,智利,0.972399401
117,达累斯萨拉姆港,06°50′S,039°17′E,坦桑尼亚,1.107110254
76,火奴鲁鲁港,21°19′N,157°52′W,美国,1.107585838
42,布雷斯特,48°23′N,004°29′W,法国,1.113437586
41,马赛,43°18′N,005°22′E,法国,1.14675862
54,哈瓦那港,23°09′N,082°21′W,古巴,1.194315892
43,帕皮提港,17°32′S,149°35′W,法属波利尼西亚,1.223256052
64,艾哈迈迪港,29°04′.1N,048°09′.7E,科威特,1.286750933
64,艾哈迈迪港,29°04′.1N,048°09′.7E,科威特,1.286750933
130,奥克兰港,36°51′S,174°46′E,新西兰,1.304273077
17,弗里曼特尔港,32°03′S,115°44′E,澳大利亚,1.344808777
39,马萨瓦港,15°36′.7N,039°28′.6E,厄立特里亚,1.452785939
39,马萨瓦港,15°36′.7N,039°28′.6E,厄立特里亚,1.452785939
79,珍珠港,21°19′N,157°58′W,美国,1.476564127
84,卡萨布兰卡港,33°36′N,007°36′W,摩洛哥,1.546925994
87,德班港,29°52′S,031°02′E,南非,1.610250347
138,布什尔港,28°59′.5N,050°50′.1E,伊朗,1.624242569
77,诺福克港,36°51′N,076°19′W,美国,1.645491476
28,巴林港,26°14′N,050°35′E,巴林王国,1.665318722
78,圣迭戈港,32°42′N,117°10′W,美国,1.700652337
151,维沙卡帕特南港,17°41′N,083°18′E,印度,1.768207052
134,穆卡拉港,14°31′N,049°09′E,也门,1.796471379
134,穆卡拉港,14°31′N,049°09′E,也门,1.796471379
135,亚丁港,12°47′.8N,045°00′.5E,也门,1.809635252
48,伊洛伊洛港,10°42′N,122°35′E,菲律宾,1.823269033
47,宿务港,10°18′N,123°53′E,菲律宾,1.825625379
106,亭可马里港,08°33′N,081°12′E,斯里兰卡,1.834841813
110,霍比奥港,05°20′.7N,048°32′.5E,索马里,1.843065027
110,霍比奥港,05°20′.7N,048°32′.5E,索马里,1.843065027
44,达沃港,07°04′N,125°38′E,菲律宾,1.843185299
157,泗水港,07°12′S,112°44′E,印度尼西亚,1.843196037
22,莫尔兹比港,09°28′.7S,147°08′.8E,巴布亚新几内亚,1.843406119
57,吉布提港,11°36′N,043°08′E,吉布提,1.843652385
82,皎漂,19°27′N,093°33′E,缅甸,1.844957056
82,皎漂,19°27′N,093°33′E,缅甸,1.844957056
75,路易港,20°08′.9S,057°29′.2E,毛里求斯,1.845101394
71,哥打基纳巴卢港,05°59′N,116°05′E,马来西亚,1.845277251
156,沙璜港,05°53′.4N,095°18′.9E,印度尼西亚,1.845617528
96,维多利亚港,04°37′S,055°28′E,塞舌尔,1.849345731
31,海州港,37°59′N,125°42′E,朝鲜,1.849939019
31,海州港,37°59′N,125°42′E,朝鲜,1.849939019
60,杜阿拉港,04°03′N,009°42′E,喀麦隆,1.85072266
60,杜阿拉港,04°03′N,009°42′E,喀麦隆,1.85072266
112,摩加迪沙港,02°02′N,045°20′E,索马里,1.854164833
128,新加坡港,01°16′N,103°50′E,新加坡,1.854878221
111,基斯马尤港,0°22′S,042°34′E,索马里,1.85528748
111,基斯马尤港,0°22′S,042°34′E,索马里,1.85528748
16,达尔文港,12°28′S,130°50′E,澳大利亚,1.897362153
92,吴港,34°14′N,132°32′E,日本,1.914386654
107,萨瓦金港,19°07′.0N,037°20′.6E,苏丹,2.03164669
107,萨瓦金港,19°07′.0N,037°20′.6E,苏丹,2.03164669
86,阿卡普尔科港,16°50′N,099°54′W,墨西哥,2.033350444
120,突尼斯港,36°49′N,010°18′E,突尼斯,2.067263187
120,突尼斯港,36°49′N,010°18′E,突尼斯,2.067263187
19,纽卡斯尔港,32°55′S,151°48′E,澳大利亚,2.068578634
143,卡利亚里港,39°13′N,009°06′E,意大利,2.084394362
126,比雷埃夫斯港,37°57′N,023°38′E,希腊,2.201663533
104,加勒港,06°02′N,080°14′E,斯里兰卡,2.219704982
104,加勒港,06°02′N,080°14′E,斯里兰卡,2.219704982
58,哈利法克斯港,44°39′N,063°34′W,加拿大,2.275442685
160,亚喀巴港,29°30′.6N,034°59′.7E,约旦,2.454438478
125,加的斯港,36°32′.2N,006°17′.4W,西班牙,2.469383839
145,塔兰托港,40°27′N,017°12′E,意大利,2.546537475
161,归仁港,13°46′.3N,109°14′.1E,越南,2.578545212
51,卡塔赫纳港,10°25′N,075°32′W,哥伦比亚,2.594057609
149,科钦港,09°57′.9N,076°16′.1E,印度,2.595822966
115,宋卡,07°12′N,100°35′E,泰国,2.604952208
115,宋卡,07°12′N,100°35′E,泰国,2.604952208
105,科伦坡港,06°56′N,079°50′E,斯里兰卡,2.605681718
63,阿比让港,05°16′N,004°01′W,科特迪瓦,2.609670713
152,比通港,01°26′N,125°11′E,印度尼西亚,2.614654927
72,卢穆特港,04°15′.3N,100°39′.7E,马来西亚,2.635132203
14,罗安达港,08°47′S,013°16′E,安哥拉,2.723989267
108,苏丹港,19°37′N,037°14′E,苏丹,2.916440421
62,乌姆赛义德港,24°56′.9N,051°35′.3E,卡塔尔,3.03575808
91,广岛港,34°20′N,132°25′E,日本,3.129634447
5,拉希德港,25°16′N,055°16′E,阿拉伯联合酋长国,3.357703473
5,拉希德港,25°16′N,055°16′E,阿拉伯联合酋长国,3.357703473
165,岘港,16°07′N,108°13′E,越南,3.397393507
93,达喀尔港,14°41′N,017°26′W,塞内加尔,3.450549879
90,里斯本港,38°42′N,009°11′W,葡萄牙,3.503754892
98,吉达港,21°28′N,039°10′E,沙特阿拉伯,3.576768661
98,吉达港,21°28′N,039°10′E,沙特阿拉伯,3.576768661
141,埃拉特港,29°31′.9N,034°56′.5E,以色列,3.663134429
13,亚历山大港,31°09′N,029°53′E,埃及,3.676356679
114,普吉港,07°49′.2N,098°24′.3E,泰国,3.686496768
26,苏尔曼港,26°12′.1N,050°36′.8E,巴林,3.69304369
40,土伦港,43°06′N,005°53′E,法国,3.869324738
88,开普敦港,33°56′S,018°26′E,南非,4.005737496
70,巴生港,03°01′.8N,101°21′.6E,马来西亚,4.138563605
3,马德普拉塔港,38°00′S,057°32′W,阿根廷,4.241751635
29,福塔莱萨港,03°42′.9S,038°28′.6W,巴西,4.618548564
2,布宜诺斯艾利斯港,34°36′S,058°22′W,阿根廷,4.933398833
155,三宝垄港,06°55′S,110°25′E,印度尼西亚,5.529524821
159,雅加达港,06°06′S,106°49′E,印度尼西亚,5.534668875
164,金兰港,11°54′N,109°09′E,越南,5.75084719
164,金兰港,11°54′N,109°09′E,越南,5.75084719
147,根德拉港,23°01′.9N,070°13′.1E,印度,5.794874148
116,梭桃邑,12°36′N,100°56′E,泰国,5.820208758
116,梭桃邑,12°36′N,100°56′E,泰国,5.820208758
132,金斯敦港,17°58′N,076°48′W,牙买加,6.454966245
154,棉兰港,03°47′N,098°41′E,印度尼西亚,6.654169645
158,勿拉湾港,03°47′.3N,098°41′.7E,印度尼西亚,6.654169645
80,吉大港,22°19′N,091°48′E,孟加拉,6.957802379
67,图阿马西纳港,18°08′S,049°22′E,马达加斯加,7.291866655
123,穆阿拉港,05°01′N,115°04′E,文莱,7.619411203
167,穆阿拉港,05°01′N,115°04′E,文莱,7.619411203
123,穆阿拉港,05°01′N,115°04′E,文莱,7.619411203
146,杜蒂戈林港,08°45′N,078°13′E,印度,7.934535619
150,孟买港,18°57′N,072°51′E,印度,7.962935931
6,扎伊德港,24°31′.4N,054°23′.0E,阿拉伯联合酋长国,8.544234565
6,扎伊德港,24°31′.4N,054°23′.0E,阿拉伯联合酋长国,8.544234565
137,阿巴斯港,27°08′.8N,056°12′.2E,伊朗,8.69329429
162,海防港,20°52′N,106°41′E,越南,9.028098083
162,海防港,20°52′N,106°41′E,越南,9.028098083
4,阿布扎比港,24°32′N,054°23′E,阿拉伯联合酋长国,9.560337091
4,阿布扎比港,24°32′N,054°23′E,阿拉伯联合酋长国,9.560337091
37,瓜亚基尔港,02°17′S,079°54′W,厄瓜多尔,10.67157905
37,瓜亚基尔港,02°17′S,079°54′W,厄瓜多尔,10.67157905
73,马六甲港,02°12′.8N,102°09′.3E,马来西亚,11.27548963
27,锡特拉港,26°09′.5N,050°40′.2E,巴林,11.38616089
85,蒙特卡洛港,43°44′N,007°26′E,摩纳哥,12.79860404
56,镇海港,35°07′N,128°42′E,韩国,13.35707103
97,达曼港,26°30′.7N,050°12′.2E,沙特阿拉伯,15.14160209
46,三宝颜,N6.55,E122.05,菲律宾,15.85636281
46,三宝颜,N6.55,E122.05,菲律宾,15.85636281
129,樟宜港,01°19′N,104°01′E,新加坡,19.35500943
59,西哈努克港,10°38′N,103°29′E,柬埔寨,19.50753357
59,西哈努克港,10°38′N,103°29′E,柬埔寨,19.50753357
36,扎鲁比诺港,42°38′N,131°05′E,俄罗斯,23.31070059
124,斯里巴加湾港,04°54′N,114°56′E,文莱,24.78507675
166,斯里巴加湾港,04°54′N,114°56′E,文莱,24.78507675
124,斯里巴加湾港,04°54′N,114°56′E,文莱,24.78507675
102,朱拜勒港,27°01′.5N,049°41′.1E,沙特阿拉伯,26.96357202
102,朱拜勒港,27°01′.5N,049°41′.1E,沙特阿拉伯,27.18802086
94,利马索尔港,34°39′N,033°01′E,塞浦路斯,30.92803445
24,加西姆港,24°46′.1N,067°19′.7E,巴基斯坦,33.35522204
139,伦格港,26°33′N,054°53′E,伊朗,49.42882652
11,塞法杰港,26°44′.4N,033°56′.6E,埃及,58.52280272
133,荷台达港,14°50′.1N,042°56′.2E,也门,59.32729433
52,卡尔德拉港,09°55′N,083°43′W,哥斯达黎加,73.58871416
153,杜迈港,01°41′.2N,101°27′.3E,印度尼西亚,79.26043451
34,帝力港,08°33′S,125°35′E,东帝汶,93.2445668
131,拉塔基亚港,35°31′N,035°46′E,叙利亚,126.4960695
99,吉赞港,16°53′.4N,042°32′.1E,沙特阿拉伯,177.3783093
1,阿尔及尔港,36°46′N,003°04′E,阿尔及利亚,255.9281756
101,延布商业港,24°04′.8N,038°04′.1E,沙特阿拉伯,261.6079208
100,延布工业港,23°57′.2N,038°13′.0E,沙特阿拉伯,276.6245402
89,拉各斯港,06°26′S,003°24′E,尼日利亚,606.8838159
